,ask_asset,block_timestamp,event_index,from_,msg_index,offer_amount,offer_asset,price,return_amount,sender,to_,tx_id
9638,,2022-02-15 16:11:36.238,1,,0,,,,,terra18t69xm77fry9hcm9r3p8nteltll644urqve6ct,,EDFFEFF74AF2A2123EFB16E3876E72C4BCDBCD638D53A31E87D1ED175247264F
9639,UST,2022-02-15 06:37:20.348,3,terra1ekrgr0vsyh74mr84cew496ut86cechu8je7mus,0,592.118664,PRISM,2.462798857,240.425101,terra1ekrgr0vsyh74mr84cew496ut86cechu8je7mus,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,E02F4DCBA48F59347B931BF7168824C5D9E7F9FF7577497F863CF6ED2634AA14
9640,UST,2022-02-15 10:55:36.307,3,terra1cacyudvcc6g36ac6wh7hh4lhr0dl4mr5f9ehjq,0,300.0,PRISM,2.420411641,123.945859,,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,35BA4618A3090D64EE1FC94C1297A2ED1DAFFB34C709EB4F8ED8FBB70AD05563
9641,UST,2022-02-15 10:55:36.307,3,terra1cacyudvcc6g36ac6wh7hh4lhr0dl4mr5f9ehjq,0,300.0,PRISM,2.420411641,123.945859,terra1cacyudvcc6g36ac6wh7hh4lhr0dl4mr5f9ehjq,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,35BA4618A3090D64EE1FC94C1297A2ED1DAFFB34C709EB4F8ED8FBB70AD05563
9642,PRISM,2022-02-15 20:01:15.556,1,,2,10.362911,pLUNA,0.024670596729999997,420.051088,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,,E6C128F8C51F3EDA6D8C220787B5A3957C3E19709A103E3DAE8D93975EDEC057
9643,yLUNA,2022-02-15 10:35:50.348,1,,1,818.289136,PRISM,97.13817106,8.423971,terra1dlur4ewlgdzq4cfnndccddn9g3eq6pq3vqdguv,,8651BFE884375421AED12D07D15296CC20BAD7314A905D562AC04876A3945845
9644,PRISM,2022-02-15 16:06:50.000,1,,0,13.160191,yLUNA,0.01235584339,1065.09856,terra1x5rutmkr9q6cvr4mhapy0x3aav9jq3qt8n8j0k,,919F6D38849D9031F068D4A1260D8EA438F689B96DD28BBFC2C004CD8C1B0699
9645,pLUNA,2022-02-15 23:42:32.244,1,,2,658.516701,PRISM,39.159738423,16.816167,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,,CD042416794B8EDB961A2A0A4336FD616FFCC0321CFA3D5C1FC8012C7C9D8F45
9646,pLUNA,2022-02-15 06:13:19.348,1,,1,5256.831197,PRISM,46.982079314,111.890135,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,55907AC899544656FECF8CCCE239B7F91AF4BAD93B2106954319A3387F540E47
9647,,2022-02-10 23:18:38.544,1,,0,,,,,terra16368d3daadw66wk583j5erg7juqgfglnmqlujq,,F7DA5EB9B89491747AAED1C164A0A7C930559FEDD63722445C907F1FA344C4BB
